"","id","source","FV","H","Book","X1770","X1774","X1780","red_pencil_PD","ink_melanges","Paral..to..Observations.","Paral..to..Supplément.","working_notes","n_word","Notes","other"
"277","227","H-FP_T3 L14","no","yes","L14","n/a","n/a","n/a","no","no","","","","121","Goggi: ""Non repris""",""
"278","228","H-FP_T3 L14","no","yes","L14","n/a","n/a","n/a","no","no","","","","132","Goggi: ""Non repris""",""
"279","229 A","V-FP_T3 L14","yes","yes","L14","not appeared","not appeared","appeared","yes","no","","","","110","Goggi: P.D. p. 289-293 (à partir du §1) // I added §1 and 2 to V-FP (229 A)",""
"280","229 B","H-FP_T3 L14","yes","yes","L14","not appeared","not appeared","appeared","yes","no","","","","549","",""
"281","230","V-FP_T3 L14","yes","yes","L14","appeared","not changed","not changed","yes","yes","yes (says Duch)","","","272","",""
"282","231","H-FP_T4 L15","no","yes","L15","n/a","n/a","n/a","no","no","","","","96","Goggi: ""Non repris""",""
"283","232","V-FP_T4 L15","yes","yes","L15","appeared","not changed","changed","yes","no","","","","174","",""
"284","233","H-FP_T4 L15","no","yes","L15","n/a","n/a","n/a","no","no","","","","68","Goggi: ""Non repris""",""
"285","234","H-FP_T4 L15","no","yes","L15","appeared","not changed","not changed","no","no","","","yes (says Duch)","216","Goggi: ""Non repris"" // Duchet: Réfutation, p. 626-27",""
"286","235","H-FP_T4 L15","no","yes","L15","n/a","n/a","n/a","no","no","","","","178","Goggi: ""Non repris""",""
"287","236","V-FP_T4 L15","yes","yes","L15","appeared","not changed","not changed","yes","no","","","","440","",""
"288","237","V-FP_T4 L15","yes","yes","L15","appeared","changed","changed","yes","no","","","","465","Duchet: P.D. p. 160-167 (avec une coupure) // Goggi makes two parts of it (fragment 237 and 238) and describes which part is not 
marked. Maybe this is also the ""coupure"" Duchet is referring to? // Goggi: P.D. p. 160-162",""
"289","238","V-FP_T4 L15","yes","yes","L15","appeared","changed","changed","yes","no","","","","859","Goggi: P.D. p. 163-167 // Duchet: still the fragment above (F. 175-B) // I added appeared/changed/changed for both chunks though ",""
"290","239","H-FP_T4 L15","no","yes","L15","n/a","n/a","n/a","no","no","","","","30","Goggi: ""Non repris""",""
"291","240","V-FP_T4 L15","yes","yes","L15","appeared","not changed","not changed","yes","no","no","yes (says Duch)","","943","Duchet: P.D. 167-172 // Goggi: P.D. p. 168-169 and p. 169-172",""
"292","241","V-FP_T4 L15","yes","yes","L15","appeared","not changed","not changed","yes","no","","","","21","Caution: here I made a mistake! I did not include these 21 words. Furthermore I used the 330 words of the fragment below as fragment 241
The real fragment 242 just was empty all along and I did not notice! I have to correct it in both files!!!",""
"293","242","V-FP_T4 L15","yes","yes","L15","appeared","not changed","not changed","yes","no","","","","330","",""
"294","243 A","FP II


Korrektur der 
Angabe: P.D.
","yes","yes","L15","appeared","changed","not changed","yes","no","","","yes","380







281 (P.D.)","This Fragment appears both in P.D. and FP II. I extracted it from V-FP and H-FP, so now it can only be found in FP II files.
Duchet: ""C'est un passage de la p.201 qui vient de F.P. 8 et a été ajouté dans l'Histoire en 1774"". // Goggi: FP VIII à HDI (pour alinéa 3). 
Damien: there is an incoherence here: if it is an FP fragment, it cannot have appeared in 1770.
-SOLVED: See below



Fragment no. 243 consists of §2 and §3. Goggi writes that §3 is FP VIII. Therefore I suggest that §2 is P.D (or P.D. AND FP VIII). As Damien pointed out the appearance of FP in 1770 would make no sense, therefore I suggest P.D. is only §2. This paragraph (§2) was falsely assigned 
to be FP by me. Therefore I added §2 to another file so it could be readded to the H-FP and V-FP corpus if needed. Still it confuses me why 
these two paragraphs are put together as one fragment (no.243)?","yes"
"295","243 B","FP 12 (i.e. end of this fragment = FP12)","yes","yes","L15","not appeared","appeared","n/a","n/a","no","","","yes","99 (F.P. II)","Fragment divided into two parts: first the part from 1770, second part FP added 1774 (comment by Cassandra)",""
"296","244","V-FP_T4 L16","yes","yes","L16","not appeared","not appeared","appeared","no","no","yes","","","399","",""
"297","245","V-FP_T4 L16","yes","yes","L16","not appeared","not appeared","appeared","yes","yes","","","","237","Goggi: P.D.p. 111, Mél p. 247-248",""
"298","246","V-FP_T4 L16","yes","yes","L16","not appeared","not appeared","appeared","yes","no","","","","354","",""
"299","247","V-FP_T4 L16","yes","yes","L16","not appeared","not appeared","appeared","yes","no","","","","62","",""
"300","248 A","V-FP_T4 L16","yes","yes","L16","not appeared","not appeared","appeared","yes","no","","","","212","Goggi: P.D. 16-17 (sans §9) // I deleted §9 from V-FP",""
"301","248 B","H-FP_T4 L16","yes","yes","L16","not appeared","not appeared","appeared","yes","no","","","","123","",""
"302","249 A","V-FP_T4 L16","yes","yes","L16","not appeared","not appeared","appeared","yes","no","","","","95","Goggi: P.D. p. 17-19 (avec l'ajout du §13) // I added §13 to V-FP",""
"303","249 B","H-FP_T4 L16","yes","yes","L16","not appeared","not appeared","appeared","yes","no","","","","178","",""
"304","250","H-FP_T4 L16","no","yes","L16","n/a","n/a","n/a","no","no","","","","420","Goggi: ""Non repris""",""
"305","251 A","V-FP_T4 L16","yes","yes","L16","appeared","not changed","not changed","yes","no","","","","1305 (H-FP)
1287 (F-VP)","Goggi: PD §2 (p. 122) and §4-9 (p. 116-122) but §3 non repris // I deleted §3 in F-VP",""
"306","251 B","H-FP_T4 L16","yes","yes","L16","appeared","not changed","not changed","yes","no","","","","18","",""
"307","252","H-FP_T4 L16","no","yes","L16","n/a","n/a","n/a","no","no","","","","267","Goggi: ""Non repris""",""
"308","253","H-FP_T4 L16","no","yes","L16","n/a","n/a","n/a","no","no","","","","180","Goggi: ""Non repris""",""
"309","254","H-FP_T4 L16","no","yes","L16","n/a","n/a","n/a","no","no","","","","299","Goggi: ""Non repris""",""
"310","255","V-FP_T4 L16","yes","yes","L16","not appeared","not appeared","appeared","yes","no","","","","525","",""
"311","256","H-FP_T4 L17","no","yes","L17","n/a","n/a","n/a","no","no","","","","242","Goggi: ""Non repris""",""
"312","257 A","FP II

Corrected Version:


P.D.
","yes","yes","L17","appeared","changed","not changed","yes","no","","","","1730","Appears in P.D. 128-137. Only a few lines are from FP II since 1774. This text could be (almost completely) put back into V-FP!.   
Damien: there is an incoherence here: if it is an FP fragment, it cannot have appeared in 1770.
SOLVED: see notes below

Duchet writes: This passage is taken from the article ""sauvage"" from the ""L'Encyclopédie"" d'Yverdon. The chunks which come from FP were
added into H74 (21-22) ""de manière fragmentaire"". Goggi writes FP II à HDI (quelques lignes). On page 255 (Goggi) one can see that he suggests
that §1 has the passages from FP included. This means §2-§12 could be readded to H-FP and V-FP.
Within the List of Damien §1-§12 are listed as FP. This is a reason for the confusion","yes "
"313","257 B","FP II (FP13)","yes","yes","L17","not appeared","not changed","n/a","yes","no","","","","123","Fragment divided into two parts: first the part from 1770, second part FP added 1774 (comment by Cassandra)",""
"314","258 A","V-FP_T4 L17","yes","yes","L17","not appeared","not appeared","appeared","yes","no","","","","87","Goggi: P.D. p.318-320 (avec l'ajout des §7 et 8) // I added §7 and 8 to V-FP (258 A)",""
"315","258 B","H-FP_T4 L17","yes","yes","L17","not appeared","not appeared","appeared","yes","no","","","","324","",""
"316","259","V-FP_T4 L17","yes","yes","L17","not appeared","not appeared","appeared","yes","no","","","","893","",""
"317","260","V-FP_T4 L17","yes","yes","L17","not appeared","not appeared","appeared","yes","no","","","","380","",""
"318","261","V-FP_T4 L17","yes","yes","L17","not appeared","not appeared","appeared","yes","yes","","","","191","Goggi: Mél 290-291",""
"319","262","H-FP_T4 L17","no","yes","L17","n/a","n/a","n/a","no","no","","","","115","Goggi: ""Non repris""",""
"320","263","V-FP_T4 L17","yes","yes","L17","appeared","not changed","not changed","yes","no","","","","230","",""
"321","264","H-FP_T4 L17","no","yes","L17","n/a","n/a","n/a","no","no","","","","145","Goggi: ""Non repris""",""
"322","265 A","V-FP_T4 L17","yes","yes","L17","appeared","not changed","not changed","yes","no","","","","643 (Caution)","Duchet splits this fragment into two parts. This one is P.D. p.12",""
"323","265 B","V-FP_T4 L17","yes","yes","L17","not appeared","not appeared","appeared","yes","yes","","","yes","643 (Caution)","Duchet: P.D. p. 35 // Goggi: P.D. p. 33-35 (is Goggi's fragment longer than Duchet's?) // Duchet: ""Observations p.390-391 + Addition 
aux Pensées philosophiques (V, 182)""",""
"324","266","H-FP_T4 L17","no","yes","L17","n/a","n/a","n/a","no","no","","","","172","Goggi: ""Non repris""",""
"325","267","H-FP_T4 L17","no","yes","L17","n/a","n/a","n/a","no","no","","","","269","Goggi: ""Non repris""",""
"326","Non Marque X","Non Marqué X","no","no","L17","n/a","n/a","n/a","no","yes","","","","898","Goggi: ""H80, IV, XVII, chap. 21, §1-7 ""Une fille, Miss Polly Baker, devenue grosse [...] Ce discours singulier produisit l'effet qu'en attendait
Miss Baker"" voir Supplément au Voyage, DPV, XII, p. 614-616. On le sait, le discours de Polly Baker est un texte de B. Franklin. On le
cite ici comme un texte réutilisé par Diderot: voir le cas analogue de ""Les Deux amis de Bourbonne"" frag. 220"".
I extracted the file separately and saved it as ""Non Marqué X"" ",""
"327","268","V-FP_T4 L17","yes","yes","L17","appeared","not changed","changed","no","no","","yes","","158","Goggi: ""non repris; mais voir Supplément au Voyage de Bougainville, DPV, XII, p. 616. Il s'agit de lignes qui prennent sur le discours de
Polly Baker"" // Duchet: ""Supplément p. 225-227"" // I did not change anything here",""
"328","269","H-FP_T4 L17","no","yes","L17","n/a","n/a","n/a","no","no","","","","103","Goggi: ""Non repris""",""
"329","270","V-FP_T4 L17","yes","yes","L17","not appeared","not appeared","appeared","yes","no","","","","252","",""
"330","271","V-FP_T4 L17","yes","yes","L17","not appeared","not appeared","appeared","yes","no","","","","275","",""
"331","272","H-FP_T4 L17","no","yes","L17","n/a","n/a","n/a","no","no","","","","158","Goggi: ""Non repris""",""
"332","273","V-FP_T4 L18","yes","yes","L18","not appeared","not appeared","appeared","yes","no","","","","449","",""
"333","274","H-FP_T4 L18","no","yes","L18","n/a","n/a","n/a","no","no","","","","154","Goggi: ""Non repris""",""
"334","275","H-FP_T4 L18","no","yes","L18","n/a","n/a","n/a","no","no","","","","128","Goggi: ""Non repris""",""
"335","276","V-FP_T4 L18","yes","yes","L18","not appeared","appeared","not changed","no","no","yes","no","","93","Goggi: V4 p. 5-6 Observations (Nakaz) OP p. 347 (sans les premières lignes) // I did not change anything (what premières lignes`??)",""
"336","277","H-FP_T4 L18","no","yes","L18","n/a","n/a","n/a","no","no","","","","276","Goggi: ""Non repris""",""
"337","278","H-FP_T4 L18","no","yes","L18","n/a","n/a","n/a","no","no","","","","426","Goggi: ""Non repris""",""
"338","279","FP II 




Corrected:


Oeuvres Compl. XI","no","yes","L18","not appeared","not appeared","appeared","no","no","","","yes","273","I saved it as FP II. // Duchet: ""O.C. XI, 719-720"" // Goggi: ""ms. de Diderot conservés en Russie, t.XV, p. 184 (voir Tourneux, Les 
Manuscrits de Diderot conservés en Russie, Paris 1885, p. 16.      
Damien: there is an incoherence here. If it is an FP fragment, it should have appeared in 1774, not in 1780.
SOLVED: see notes below

This passage is NOT a FP (neither Goggi nor Duchet claim this)! It appears within the Oeuvres Completes (Tourneux). 
Within the List given by Damien this Passage was included. This is why I claimed it was FP.
The following information given by Damien: [Nicht im Fonds Vandeul, aber dafür in den manuscrits de Diderot conservés en Russie:] Livre 18, 
ch. 12, paragraphes 12-13 (le discours de Logan, chef des Indiens) : « Je demande aujourd’hui à tout homme [...] c’est le coeur qui rend 
l’homme disert ? »","yes"
"339","280","V-FP_T4 L18","yes","yes","L18","not appeared","not appeared","appeared","yes","no","","","","281","Duchet: P.D. p. 12-14 // Goggi: P.D. p. 12-13 (is something missing here?)",""
"340","281","H-FP_T4 L18","no","yes","L18","n/a","n/a","n/a","no","no","","","","250","Goggi: ""Non repris""",""
"341","282","V-FP_T4 L18","yes","yes","L18","not appeared","not appeared","appeared","yes","yes","","","","409","",""
"342","283","H-FP_T4 L18","no","yes","L18","n/a","n/a","n/a","no","no","","","","85","Goggi: ""Non repris""",""
"343","284","H-FP_T4 L18","no","yes","L18","n/a","n/a","n/a","no","no","","","","196","Goggi: ""Non repris""",""
"344","285","V-FP_T4 L18","yes","yes","L18","not appeared","not appeared","appeared","yes","no","","","","542","Goggi: P.D. p. 111-114 (sans les dernières quatre lignes de l'aniléa) // I did not change anything",""
"345","286","H-FP_T4 L18","no","yes","L18","n/a","n/a","n/a","no","no","","","","144","Goggi: ""Non repris""",""
"346","287","H-FP_T4 L18","no","yes","L18","n/a","n/a","n/a","no","no","","","","81","Goggi: ""Non repris""",""
"347","288","H-FP_T4 L18","no","yes","L18","n/a","n/a","n/a","no","no","","","","139","Goggi: ""Non repris""",""
"348","289","V-FP_T4 L18","yes","yes","L18","not appeared","not appeared","appeared","yes","no","","","","136","",""
"349","290","V-FP_T4 L18","yes","yes","L18","n/a","n/a","n/a","yes","no","","","","257","Goggi: P.D. chap. 4 p. 169 §13: non repris, §14: sans deux lignes et demie du début // I deleted §13
from V-FP.        This fragment does NOT appear in Duchet! We follow Goggi here.",""
"350","291","H-FP_T4 L18","no","yes","L18","n/a","n/a","n/a","no","no","","","","133","Goggi: ""Non repris""",""
"351","292","V-FP_T4 L18","yes","yes","L18","appeared","not changed","not changed","yes","no","","","","155","Goggi: P.D. p. 57-58 (avec l'ajout des deux dernières lignes de §1) // I did not change anything here",""
"352","293","V-FP_T4 L18","yes","yes","L18","appeared","not changed","changed","yes","no","","","","239","",""
"353","294 A","V-FP_T4 L18","yes","yes","L18","appeared","not changed","not changed","yes","no","","","","742","Goggi: P.D. 92-95 (sans §15, les 3 premières lignes et demie du début de §16 et sans §19) // I deleted §15 and 19 from V-FP",""
"354","294 B","H-FP_T4 L18","yes","yes","L18","appeared","not changed","not changed","yes","no","","","","205","",""
"355","295","V-FP_T4 L18","yes","yes","L18","appeared","not changed","not changed","yes","no","","","","359","Goggi: P.D. 108-109 (sans la dernière ligne de l'alinéa) // I did not change anything here",""
"356","296","V-FP_T4 L18","yes","yes","L18","n/a","n/a","n/a","no","yes","","","","428","Does NOT appear in Duchet! // Goggi: Mél, p. 151-153 (avec des modifications au début de l'aniléa et une coupure de 3 lignes à sa fin)",""
"357","297","V-FP_T4 L18","yes","yes","L18","not appeared","not appeared","appeared","yes","no","","","","269","",""
"358","298","V-FP_T4 L18","yes","yes","L18","not appeared","not appeared","appeared","no","yes","yes","no","yes","10311","Duchet: Mélanges p. 183-238 (this includes fragment 298, 299 AND Non Marqué XI), R.H. (p.627), Obervations 402 // Goggi: Mélanges 
p. 183-231",""
"359","Non Marque XI","V-FP_T4 L18","yes","no","L18","not appeared","not appeared","appeared","no","yes","","","","143","Goggi: Mélanges p. 231-232",""
"360","299","V-FP_T4 L18","yes","yes","L18","not appeared","not appeared","appeared","no","yes","","","","861","Duchet: Almost the rest of fragment 298 (see above) // Goggi: Mél p. 232-236 (pages Mél 237 and 238 are missing?)",""
"361","No Number","Non Marqué","yes","no","","not appeared","not appeared","appeared","yes","no","","","","69","Complete Chunk following (P.D. p. 203 // H80 XVIII, chap 49, §11, p. 442): Ces préjugés leur faisoient croire que ce n'étoit pas en 
escortant pesamment, laborieusement les navires de la nation, en séjournant dans des croisières difficiles pour surprendre ou détruire
 les bâtimens de l'ennemi, qu'on parvenoit à se faire un nom. Ce double devoir fut donc entiérement négligé ou très-mal rempli, d'après
 l'opinion commune à Brest, qu'un pareil service n'avoit rien de noble & ne conduisoit à aucune sorte de gloire.",""
"362","300","V-FP_T4 L18","yes","yes","L18","not appeared","not appeared","appeared","yes","no","","","","558","Not included is the non marked chunk above",""
"363","301","V-FP_T4 L18","yes","yes","L18","not appeared","not appeared","appeared","yes","no","","","","301","(Fragment number matches word number O.O)",""
"364","302","V-FP_T4 L18","yes","yes","L18","not appeared","not appeared","appeared","no","yes","","","","346","Goggi: ""Mél p. 236-238 (dans Mél le texte termine avec: par l'espoir d'une meilleure!)""",""
"365","303 A","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","no","","","","528","Goggi: introduction §1-4: non repris, chap. 1 §1-5: PD, chap 1, p. 1-3 (same as Duchet), chap. 1 §6: non repris // I deleted §1-4 (of the
introduction) and §6 of chap. 1",""
"366","303 B","H-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","no","","","","218","",""
"367","304","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","no","","","","365","Duchet: P.D. p. 9-10 // Goggi: P.D. p. 8-10 (did Goggi include more text here?)",""
"368","305 A","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","changed","yes","no","","","","161","Goggi: §18: les lignes marquées de l'alinéa ne sont pas reprises, §19: P.D. p. 10-12 // Duchet: P.D. p. 10-11 // I deleted the lignes from
§18",""
"369","305 B","H-FP_T4 L19","yes","yes","L19","not appeared","appeared","changed","yes","no","","","","58","",""
"370","306","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","no","no","yes (says Duch)","yes (says Duch)","238","Duchet: P.D. p. 53-54, Mémoires pour Catherine 693-694, Supplément p. 247",""
"371","Non Marque XII","Non Marqué","yes","no","L19","not appeared","appeared","changed","yes","no","","","","113","This chunk is a part of: P.D. p. 74 (see below fragment 307 A)",""
"372","307 A","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","changed","yes","no","","","","1226 (H-FP)","This fragment is split by Duchet into three parts. Duchet: P.D. p. 74-78 (same as Goggi) // Goggi: ""sans la dernière ligne et demie de
l'alinéa 8) // I did not delete these one and a half lines.     //  Damien: The three parts that Duchet distinguishes: 307 A appeared in 1774, 307 B and C appeared in 1780. o        307 B and C are both in Pensées détachées. Duchet considers these to be two fragments because they are in different parts of Pensées détachées. But we don’t care about that. So I think we should split fragment 307 into two parts, not three: 307 A  and 307 B+C. Accordingly, I change the spreadsheet so that there is only 307 A and 307 B. 307 A corresponds to the first part of 307 in Duchet; 307 B comprises the two last parts in Duchet.",""
"373","307 B","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","changed","yes","no","","","","1226 (H-FP)
1115 (V-FP)","Second part of fragment 307 in Duchet: P.D. p. 5-6 (same as Goggi). Third part of fragment 307 in Duchet: P.D. p. 80-81 (same as Goggi BUT ""§10: P.D. p. 80-81, §11 non repris"") // Julian: I deleted § 11 form V-FP",""
"374","308","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","no","","","","131","",""
"375","309","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","no","","","","188","",""
"376","310 A","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","no","","","","489","H80, livre XIX, chap. 2 §23-24 (§23 does not appear in V-FP so it was only added into H-FP)",""
"377","310 B","V-FP_T4 L19","yes","no","L19","not appeared","not appeared","appeared","yes","no","","","","236","H80, livre XIX, chap. 2 §25-26 (Goggi: non repris)",""
"378","310 C","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","no","no","","","yes","1843","H80, livre XIX, chap. 2, §29-46 // ""Sur la civilisation de la Russie""",""
"379","310 FP","FP II (FP14)","yes","yes","L19","not appeared","appeared","not changed","yes","no","","","","330","",""
"380","Non Marque XIII","Non Marqué","no","no","L19","not appeared","appeared","not changed","no","no","","","yes","897","FP 13 (H80, L19, chap 2, §48-53)",""
"381","312","H-FP_T4 L19","no","yes","L19","n/a","n/a","n/a","no","no","","","","80","Goggi: ""Non repris""",""
"382","313","H-FP_T4 L19","no","yes","L19","n/a","n/a","n/a","no","no","","","","186","Goggi: ""Non repris""",""
"383","314","H-FP_T4 L19","no","yes","L19","n/a","n/a","n/a","no","no","","","","95","Goggi: ""Non repris""",""
"384","315 A","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","no","","","","101","Goggi: §91 P.D. p. 106-107, §92 non repris // §92 was deleted from V-FP",""
"385","315 B","H-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","no","","","","253","",""
"386","316 A","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","no","no","yes","","","213","Goggi: §94 non repris, §95 Observations p. 364, §96 non repris // §94 and 96 deleted from V-FP",""
"387","316 B","H-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","no","no","yes","","","172","",""
"388","317","FP II (FP16)","yes","yes","L19","not appeared","appeared","not changed","no","no","","","yes","109","FP 3 (H80, L19, chap 2, §108)","yes"
"389","318","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","yes","","","","277","",""
"390","319 A","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","changed","no","yes","","","yes","1624","Duchet: Mél p. 73-81, FP 5 (the FP5 texts appeared 1774 disappeared 1780 though) // Goggi: §122-138: République de Venise (avec 
l'ajout d'une partie de §122 pour faire context), §139: sur les Suisses, non repris // §139 was deleted but §122 was not added
I extracted some text into FP though (72 words). Is this taken from 1774?",""
"391","319 B","H-FP_T4 L19","yes","yes","L19","not appeared","appeared","changed","no","yes","","","yes","108","",""
"392","320 A","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","no","yes","","","","4476 (H-FP)
4403 (V-FP)","Duchet splits this fragment into two parts. Duchet (part 1): Mél p. 82-102 // Goggi: §188 non repris // §188 was deleted",""
"393","320 B","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","not changed","yes","no","","","","same as above","Goggi and Duchet: P.D. p. 106",""
"394","321","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","not changed","yes","no","","","","155","",""
"395","322","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","not changed","yes","no","","","","145","Duchet: P.D. p. 101-102 // Goggi: P.D. p. 101",""
"396","Non Marque XIV","Non Marqué","yes","no","L19","not appeared","appeared","not changed","yes","no","","","","115","Goggi: P.D. 101-102 (rest of what Duchet meant before prob.). H80 L19, chap. 2, §194",""
"397","323","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","no","","","","676","Goggi: PD, chap.3, p. 102-106",""
"398","324","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","not changed","yes","no","","","","59","",""
"399","325","V-FP_T4 L19","no","yes","L19","n/a","n/a","n/a","no","no","","","","187","",""
"400","326","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","no","","","","908","",""
"401","327 A","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","no","","","","82","Goggi: P.D. p. 191-193 (avec l'ajout de lignes du §23: ""Ils ne connoissent [...] dans des garnisons."" // This part was added",""
"402","327 B","H-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","no","","","","323","",""
"403","328 A","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","changed","yes","no","","","","206 (Caution)","Duchet splits this fragment into two parts. This one (A): Duchet: P.D. p 193 // Goggi: P.D. p. 193-194",""
"404","328 B","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","no","","","","206 (Caution)","Duchet: P.D. p. 194-194",""
"405","329","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","changed","yes","no","","","yes","439","Duchet: Essai Claude et Néron (besides P.D. of course)",""
"406","330","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","no","","","","202","Goggi: avec l'ajout [...] de l'entier §24, qui n'est pas marqué dans Hornoy // I did not change anything though",""
"407","331","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","no","","","","195","",""
"408","332","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","not changed","yes","yes","","","","151","",""
"409","333","H-FP_T4 L19","no","yes","L19","not appeared","not appeared","appeared","yes","no","yes (says Duch)","","","3642","Here is something strange: Duchet: P.D. p. 210-225 and Observations 420, 416, 399 // Goggi: just an empty space!! Did he forget to add
information here???",""
"410","Non Marque XV","Non Marqué","yes","no","L19","not appeared","not appeared","appeared","yes","no","","","","64","This seems to be a part of the big chunk which is not marked in the Exempl. Hornoy",""
"411","Non Marque XVI","Non Marqué","yes","no","L19","not appeared","appeared","changed","yes","no","","","","29","This Non-Marqué XVI (29 words) is P.D. p. 228 (H80 L19 chap 6 §65 - les 3 premières lignes et demie) 
Duchet: P.D. p. 226-228 // Goggi: There is also one Fragment without numeration (with 177 words) where he writes: ""Le marquage de l'alinéa 
est douteux"". This is P.D. p. 227-228. ",""
"412","334","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","no","","","","145","",""
"413","335","H-FP_T4 L19","no","yes","L19","n/a","n/a","n/a","no","no","","","","94","Goggi: ""Non repris""",""
"414","336","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","no","no","yes","","yes","361","Duchet: Observations (p. 409-410) and Article Homme",""
"415","337","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","changed","yes","no","","","","409","",""
"416","338","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","not changed","yes","no","","","","93","",""
"417","339","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","not changed","yes","no","","","","338","Duchet: P.D. p 231-234 // Goggi: P.D. 232-233 (au début, le texte des PD reprend aussi les sept lignes précédentes) // Did not change
anything",""
"418","Non Marque XVII","Non Marqué","yes","no","L19","not appeared","appeared","not changed","yes","no","","","","132","Goggi: P.D. 233-234 (H80, L19, chap. 9, §29)",""
"419","340","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","no","yes","","","","8610","",""
"420","341","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","no","yes","","","","95","Goggi: Mél p. 153-154 (le texte de Mél reprend avec des aménagements une partie de §5) // I did not change anything here",""
"421","342","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","no","yes","","","","204","",""
"422","343","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","changed","yes","yes","","","","1037","Duchet: P.D. p. 398-402 // Goggi: P.D. p. 398-401 (fragment 344 is probably the rest of this part. In between there is a Non-Marqué Chunk)",""
"423","Non Marque XVIII","Non Marqué","yes","no","L19","not appeared","appeared","changed","yes","no","","","","68","Goggi: P.D. p. 401",""
"424","344","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","changed","yes","no","","","","164","Goggi: P.D. p. 401-402",""
"425","345","H-FP_T4 L19","no","yes","L19","n/a","n/a","n/a","no","no","","","","143","",""
"426","346","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","not changed","yes","no","","","","199","",""
"427","347","V-FP_T4 L19","yes","yes","L19","not appeared","not appeared","appeared","yes","no","","","","392","",""
"428","348","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","changed","yes","no","yes","yes","yes (says Duch)","101","Here is a big fragment in which there are two parts not marked in the Exemplaire Hornoy. The chunk as a whole includes fragment:
348, Non Marqué XIX, 349, Non Marqué XX.
Duchet describes this big chunk as follows: P.D. p. 43-50, Observations 371, FP 1 (?), Mémoires pour Catherine X, p. 753,
Éléments de physiologie (XIII, 823), Neveu de Rameau (Ed. Fabre p. 70)
Goggi has to split this big chunk obviously. This smaller piece is: P.D. p. 43",""
"429","Non Marque XIX","Non Marqué","yes","no","L19","not appeared","appeared","changed","yes","no","maybe?","maybe?","maybe?","152","Goggi: P.D. p. 43-44",""
"430","349","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","changed","yes","no","maybe?","maybe?","maybe?","1232","Goggi: P.D. p. 44-50",""
"431","Non Marque XX","Non Marqué","yes","no","L19","not appeared","appeared","changed","yes","no","maybe?","maybe?","maybe?","84","Goggi: P.D. p. 50",""
"432","350","V-FP_T4 L19","yes","yes","L19","not appeared","appeared","changed","yes","no","","","","222","",""
